actividad	sujeto	TimeDomain_BodyAccelerometer_Mean_X	TimeDomain_BodyAccelerometer_Mean_X.1	TimeDomain_BodyAccelerometer_Mean_X.2	TimeDomain_BodyAccelerometer_Mean_X.3	TimeDomain_BodyAccelerometer_Mean_X.4	TimeDomain_BodyAccelerometer_Mean_X.5	actividad.1	actividad.2	actividad.3	actividad.4	actividad.5	actividad.6	actividad.7	actividad.8	actividad.9	actividad.10	actividad.11	actividad.12	actividad.13	actividad.14	actividad.15	actividad.16	actividad.17	actividad.18	actividad.19	actividad.20	actividad.21	actividad.22	actividad.23	actividad.24	actividad.25	actividad.26	actividad.27	actividad.28	actividad.29	actividad.30	actividad.31	actividad.32	actividad.33	actividad.34	TimeDomain_BodyAccelerometer_Mean_X.6	TimeDomain_BodyAccelerometer_Mean_X.7	TimeDomain_BodyAccelerometer_Mean_X.8	TimeDomain_BodyAccelerometer_Mean_X.9	TimeDomain_BodyAccelerometer_Mean_X.10	TimeDomain_BodyAccelerometer_Mean_X.11	actividad.35	actividad.36	actividad.37	actividad.38	actividad.39	actividad.40	actividad.41	actividad.42	actividad.43	actividad.44	actividad.45	actividad.46	actividad.47	actividad.48	actividad.49	actividad.50	actividad.51	actividad.52	actividad.53	actividad.54	actividad.55	actividad.56	actividad.57	actividad.58	actividad.59	actividad.60	actividad.61	actividad.62	actividad.63	actividad.64	actividad.65	actividad.66	actividad.67
WALKING_DOWNSTAIRS	2	0.277615348	0.277615348	0.277615348	0.277615348	0.277615348	0.277615348	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.277615348	0.277615348	0.277615348	0.277615348	0.277615348	0.277615348	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	2	0.24716479	0.24716479	0.24716479	0.24716479	0.24716479	0.24716479	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.24716479	0.24716479	0.24716479	0.24716479	0.24716479	0.24716479	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	3	0.275516853	0.275516853	0.275516853	0.275516853	0.275516853	0.275516853	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.275516853	0.275516853	0.275516853	0.275516853	0.275516853	0.275516853	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	3	0.257197599	0.257197599	0.257197599	0.257197599	0.257197599	0.257197599	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.257197599	0.257197599	0.257197599	0.257197599	0.257197599	0.257197599	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	3	0.280046513	0.280046513	0.280046513	0.280046513	0.280046513	0.280046513	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.280046513	0.280046513	0.280046513	0.280046513	0.280046513	0.280046513	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	3	0.275567462	0.275567462	0.275567462	0.275567462	0.275567462	0.275567462	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.275567462	0.275567462	0.275567462	0.275567462	0.275567462	0.275567462	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	3	0.292423485	0.292423485	0.292423485	0.292423485	0.292423485	0.292423485	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.292423485	0.292423485	0.292423485	0.292423485	0.292423485	0.292423485	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	3	0.260819873	0.260819873	0.260819873	0.260819873	0.260819873	0.260819873	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.260819873	0.260819873	0.260819873	0.260819873	0.260819873	0.260819873	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	4	0.263559215	0.263559215	0.263559215	0.263559215	0.263559215	0.263559215	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.263559215	0.263559215	0.263559215	0.263559215	0.263559215	0.263559215	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	4	0.27153828	0.27153828	0.27153828	0.27153828	0.27153828	0.27153828	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.27153828	0.27153828	0.27153828	0.27153828	0.27153828	0.27153828	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	4	0.280499746	0.280499746	0.280499746	0.280499746	0.280499746	0.280499746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.280499746	0.280499746	0.280499746	0.280499746	0.280499746	0.280499746	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	4	0.278582015	0.278582015	0.278582015	0.278582015	0.278582015	0.278582015	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.278582015	0.278582015	0.278582015	0.278582015	0.278582015	0.278582015	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	4	0.27996533	0.27996533	0.27996533	0.27996533	0.27996533	0.27996533	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.27996533	0.27996533	0.27996533	0.27996533	0.27996533	0.27996533	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	4	0.270876697	0.270876697	0.270876697	0.270876697	0.270876697	0.270876697	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.270876697	0.270876697	0.270876697	0.270876697	0.270876697	0.270876697	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	5	0.278334326	0.278334326	0.278334326	0.278334326	0.278334326	0.278334326	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.278334326	0.278334326	0.278334326	0.278334326	0.278334326	0.278334326	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	5	0.27369414	0.27369414	0.27369414	0.27369414	0.27369414	0.27369414	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.27369414	0.27369414	0.27369414	0.27369414	0.27369414	0.27369414	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	5	0.282544391	0.282544391	0.282544391	0.282544391	0.282544391	0.282544391	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.282544391	0.282544391	0.282544391	0.282544391	0.282544391	0.282544391	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	5	0.277842346	0.277842346	0.277842346	0.277842346	0.277842346	0.277842346	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.277842346	0.277842346	0.277842346	0.277842346	0.277842346	0.277842346	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	5	0.293543927	0.293543927	0.293543927	0.293543927	0.293543927	0.293543927	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.293543927	0.293543927	0.293543927	0.293543927	0.293543927	0.293543927	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	5	0.26845947	0.26845947	0.26845947	0.26845947	0.26845947	0.26845947	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.26845947	0.26845947	0.26845947	0.26845947	0.26845947	0.26845947	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	6	0.24865652	0.24865652	0.24865652	0.24865652	0.24865652	0.24865652	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.24865652	0.24865652	0.24865652	0.24865652	0.24865652	0.24865652	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	6	0.276778487	0.276778487	0.276778487	0.276778487	0.276778487	0.276778487	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.276778487	0.276778487	0.276778487	0.276778487	0.276778487	0.276778487	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	6	0.280346249	0.280346249	0.280346249	0.280346249	0.280346249	0.280346249	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.280346249	0.280346249	0.280346249	0.280346249	0.280346249	0.280346249	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	6	0.283658868	0.283658868	0.283658868	0.283658868	0.283658868	0.283658868	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.283658868	0.283658868	0.283658868	0.283658868	0.283658868	0.283658868	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	6	0.277045258	0.277045258	0.277045258	0.277045258	0.277045258	0.277045258	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.277045258	0.277045258	0.277045258	0.277045258	0.277045258	0.277045258	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	6	0.268229355	0.268229355	0.268229355	0.268229355	0.268229355	0.268229355	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.268229355	0.268229355	0.268229355	0.268229355	0.268229355	0.268229355	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	7	0.250176694	0.250176694	0.250176694	0.250176694	0.250176694	0.250176694	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.250176694	0.250176694	0.250176694	0.250176694	0.250176694	0.250176694	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	7	0.284674637	0.284674637	0.284674637	0.284674637	0.284674637	0.284674637	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.284674637	0.284674637	0.284674637	0.284674637	0.284674637	0.284674637	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	7	0.282723539	0.282723539	0.282723539	0.282723539	0.282723539	0.282723539	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.282723539	0.282723539	0.282723539	0.282723539	0.282723539	0.282723539	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	7	0.275592962	0.275592962	0.275592962	0.275592962	0.275592962	0.275592962	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.275592962	0.275592962	0.275592962	0.275592962	0.275592962	0.275592962	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	7	0.28030708	0.28030708	0.28030708	0.28030708	0.28030708	0.28030708	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.28030708	0.28030708	0.28030708	0.28030708	0.28030708	0.28030708	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	7	0.248706923	0.248706923	0.248706923	0.248706923	0.248706923	0.248706923	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.248706923	0.248706923	0.248706923	0.248706923	0.248706923	0.248706923	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	8	0.261254283	0.261254283	0.261254283	0.261254283	0.261254283	0.261254283	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.261254283	0.261254283	0.261254283	0.261254283	0.261254283	0.261254283	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	8	0.267491473	0.267491473	0.267491473	0.267491473	0.267491473	0.267491473	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.267491473	0.267491473	0.267491473	0.267491473	0.267491473	0.267491473	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	8	0.279620986	0.279620986	0.279620986	0.279620986	0.279620986	0.279620986	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.279620986	0.279620986	0.279620986	0.279620986	0.279620986	0.279620986	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	8	0.27468631	0.27468631	0.27468631	0.27468631	0.27468631	0.27468631	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.27468631	0.27468631	0.27468631	0.27468631	0.27468631	0.27468631	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	8	0.283484089	0.283484089	0.283484089	0.283484089	0.283484089	0.283484089	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.283484089	0.283484089	0.283484089	0.283484089	0.283484089	0.283484089	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	8	0.258880152	0.258880152	0.258880152	0.258880152	0.258880152	0.258880152	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.258880152	0.258880152	0.258880152	0.258880152	0.258880152	0.258880152	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	9	0.259195537	0.259195537	0.259195537	0.259195537	0.259195537	0.259195537	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.259195537	0.259195537	0.259195537	0.259195537	0.259195537	0.259195537	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	9	0.248326744	0.248326744	0.248326744	0.248326744	0.248326744	0.248326744	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.248326744	0.248326744	0.248326744	0.248326744	0.248326744	0.248326744	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	9	0.282310057	0.282310057	0.282310057	0.282310057	0.282310057	0.282310057	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.282310057	0.282310057	0.282310057	0.282310057	0.282310057	0.282310057	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	9	0.278502842	0.278502842	0.278502842	0.278502842	0.278502842	0.278502842	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.278502842	0.278502842	0.278502842	0.278502842	0.278502842	0.278502842	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	9	0.295923445	0.295923445	0.295923445	0.295923445	0.295923445	0.295923445	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.295923445	0.295923445	0.295923445	0.295923445	0.295923445	0.295923445	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	9	0.262436476	0.262436476	0.262436476	0.262436476	0.262436476	0.262436476	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.262436476	0.262436476	0.262436476	0.262436476	0.262436476	0.262436476	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	10	0.280230574	0.280230574	0.280230574	0.280230574	0.280230574	0.280230574	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.280230574	0.280230574	0.280230574	0.280230574	0.280230574	0.280230574	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	10	0.270612056	0.270612056	0.270612056	0.270612056	0.270612056	0.270612056	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.270612056	0.270612056	0.270612056	0.270612056	0.270612056	0.270612056	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	10	0.276650301	0.276650301	0.276650301	0.276650301	0.276650301	0.276650301	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.276650301	0.276650301	0.276650301	0.276650301	0.276650301	0.276650301	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	10	0.278574077	0.278574077	0.278574077	0.278574077	0.278574077	0.278574077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.278574077	0.278574077	0.278574077	0.278574077	0.278574077	0.278574077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
